st1;hk_prob
0;0
1;0.0038881291395167993
2;0.002922512662280957
3;0.005609980741857154
4;0.0025967780716518395
5;0.0016857236197321136
6;0
7;4.3983835940291944e-4
8;1.7188037126160193e-4
9;0
