yrkeskode;yrke;hk_prob;hk_antall;antall;rel_prob
2513;Nett- og multimediautviklere;0.006756756756756757;1;148;8.453085376162299e-4
2514;Applikasjonsprogrammerere;0;0;75;0
2519;Andre programvare- og applikasjonsutviklere;0.002258610954263128;4;1771;0.0033812341504649195
2521;Databasedesignere og -administratorer;0;0;79;0
2522;Systemadministratorer;0.010238907849829351;3;293;0.00253592561284869
2523;Nettverksansvarlige;0;0;31;0
2529;Sikkerhetsanalytikere mv.;0.005376344086021506;2;372;0.0016906170752324597
2611;Jurister og advokater;0.007352941176470588;20;2720;0.0169061707523246
2612;Dommere;0;0;245;0
2619;Andre juridiske yrker;0;0;42;0
2621;Arkivarer og kuratorer;0.0014064697609001407;1;711;8.453085376162299e-4
2622;Bibliotekarer og andre informasjonsarbeidere;0;0;577;0
2631;Rådgivere/forskere, samfunnsøkonomi;0.0021482277121374865;2;931;0.0016906170752324597
2632;Rådgivere/forskere, samfunnsvitenskap;0;0;342;0
2633;Rådgivere/forskere, humanistiske fag;0;0;173;0
2634;Psykologer;9.214466712739e-4;4;4341;0.0033812341504649195
2635;Rådgivere innen sosiale fagfelt;0.0029850746268656717;9;3015;0.0076077768385460695
2636;Geistlige yrker;0.001336898395721925;1;748;8.453085376162299e-4
2641;Forfattere mv.;0.013986013986013986;2;143;0.0016906170752324597
2642;Journalister;0.0019646365422396855;2;1018;0.0016906170752324597
2643;Oversettere, tolker mv;0.009375;3;320;0.00253592561284869
2651;Skulptører, kunstmalere og andre billedkunstnere;0;0;5;0
2652;Dirigenter, komponister, musikere og sangere;0;0;407;0
2653;Koreografer og dansere;0.0136986301369863;1;73;8.453085376162299e-4
2654;Regissører;0.021505376344086023;2;93;0.0016906170752324597
2655;Skuespillere;0;0;8;0
2656;Programledere i TV og radio;0;0;30;0
2659;Andre utøvende kunstneriske yrker;0;0;26;0
310;Menige;0;0;4;0
3112;Bygningsingeniører;0.0044751072161103855;24;5363;0.02028740490278952
3113;Elkraftingeniører;0.003987240829346092;5;1254;0.00422654268808115
3114;Elektronikkingeniører;0.002500893176134334;7;2799;0.005917159763313609
3115;Maskiningeniører;0.0014423076923076924;3;2080;0.00253592561284869
3116;Kjemiingeniører;0;0;439;0
3117;Ingeniører innen petroleum, bergverk og metallurgi;8.849557522123894e-4;2;2260;0.0016906170752324597
3118;Tekniske tegnere;0.005319148936170213;2;376;0.0016906170752324597
3119;Andre ingeniører;0.0031918289179699967;10;3133;0.0084530853761623
3121;Arbeidsleder, bergfag, oljevirksomhet;0;0;3;0
3122;Arbeidsleder, industri;0;0;275;0
3123;Arbeidsleder, bygg og anlegg;0.0010548523206751054;1;948;8.453085376162299e-4
3131;Energikontrolloperatører;0;0;86;0
3132;Kontrolloperatører ved forbrennings-, kjøle- og vannrenseanlegg mv.;0;0;197;0
3133;Kontrolloperatører innen kjemisk prosessindustri;0;0;2;0
3134;Kontrolloperatører ved olje- og naturgassraffineringsanlegg;0;0;99;0
3135;Kontrolloperatører innen metallproduksjon;0;0;4;0
3139;Andre prosesskontrolloperatører;0;0;9;0
3141;Bioteknikere (ikke-medisinske laboratorier);0;0;68;0
3142;Agroteknikere;0;0;111;0
3143;Skogteknikere;0;0;93;0
3151;Skipsmaskinister;0;0;382;0
3152;Dekksoffiserer og loser;0;0;485;0
3153;Flygere mv.;0;0;41;0
3154;Flygeledere;0;0;6;0
3155;Teknikere innen luftfartssikkerhet;0;0;35;0
3211;Radiografer mv.;0;0;423;0
3212;Bioingeniører;7.31528895391368e-4;1;1367;8.453085376162299e-4
3213;Reseptarer;0;0;136;0
3214;Protese- og tannteknikere;0;0;62;0
3230;Yrker innen alternativ medisin;0;0;5;0
3240;Dyrepleier;0;0;66;0
3251;Tannpleier;0;0;304;0
3254;Optikere;0;0;232;0
3256;Helsesekretærer;0;0;2542;0
3257;Helse og miljøkontrollører;0.004524886877828055;3;663;0.00253592561284869
3258;Ambulansepersonell;0;0;492;0
3259;Andre helseyrker;0;0;57;0
3311;Finansmeglere;0;0;394;0
3312;Kundebehandlere lån og kreditt;6.844626967830253e-4;1;1461;8.453085376162299e-4
3313;Regnskapsførere;0.009887005649717515;42;4248;0.03550295857988166
3315;Takstmenn;0.007142857142857143;1;140;8.453085376162299e-4
3321;Forsikringsagenter;0.004542013626040878;6;1321;0.00507185122569738
3322;Selgere (engros);0.025769506084466716;180;6985;0.1521555367709214
3323;Innkjøpere;6.485084306095979e-4;1;1542;8.453085376162299e-4
3324;Handels- og skipsmeglere;0;0;53;0
3331;Speditører og befraktere;0;0;456;0
3332;Konferanse- og arrangementsplanleggere;0.018518518518518517;2;108;0.0016906170752324597
3333;Arbeidsformidlere;0.009302325581395349;4;430;0.0033812341504649195
3334;Eiendomsmeglere- og forvaltere;0;0;1049;0
3339;Andre yrker innen forretningstjenester;0.01694915254237288;1;59;8.453085376162299e-4
3341;Arbeidsledere for kontorpersonell;0.007594936708860759;3;395;0.00253592561284869
3342;Advokatsekretærer;0;0;98;0
3343;Sjefssekretærer;0.007561436672967864;4;529;0.0033812341504649195
3351;Tollere;0;0;43;0
3352;Skattefunksjonærer;0;0;29;0
3353;Saksbehandlere innen sosiale ytelser;0;0;624;0
3354;Saksbehandlere for førerkort, importlisenser mv.;0;0;4;0
3355;Politibetjenter mv.;0;0;1990;0
3359;Andre yrker innen offentlig forvaltning;0.00516795865633075;2;387;0.0016906170752324597
3411;Privatetterforskere;0;0;1;0
3412;Miljøarbeidere innen sosiale fagfelt;5.023863350916855e-4;2;3981;0.0016906170752324597
3413;Religiøse yrker;0;0;653;0
3421;Idrettsutøvere;0;0;1;0
